,date,tweet
0,2022-10-30,#Iteawon  #Seoul #Southkorea 🇰🇷🤍  https://t.co/lNBG6GwtDj
1,2022-10-30,"Che strano, noi italiani ce l’abbiamo a Roma, in via del nazareno e tante sedi sparse in italia. E poi dicono che il genio italiano non esista. Nel frattempo a #Seoul la prima prova dell’arma al #5G anche se loro pare siano gia’ al livello di interazione 6G #Halloween #Agenda2030"
2,2022-10-30,South Korean President Yoon declares national mourning period over deadly Seoul stampede #SouthKorea #NationalMourning #Seoul #SeoulStampede #Halloween #Halloweenstampede #YoonSukyeol  https://t.co/b7he0jcf7k
3,2022-10-30,"Güney Kore başbakanı Seul'deki Itaewon felaketi nedeniyle 5 Kasım 24:00'e kadar ulusal yas ilan etti.  당신의 나라에 사는 터키인으로서 우리는 당신의 고통을 공유합니다. 빨리 나으십시오 대한민국  #itaewon #Seoul  이태원 참사 ""이태원 사고""#PrayForSouthKorea #prayforitaewon  https://t.co/1DosWKbwk2"
4,2022-10-30,"#韩国 #首尔梨泰院 大规模 #踩踏事故 已造成151人死亡。A massive #stampede  in #ITAEWON , #Seoul , #SouthKorea has killed 151 people. #서울 #이태원 대규모 압사사고로 151명 사망 #news #TRAGEDY #Halloween #ItaewonStampede #ITAEWONHALLOWEEN #ItaewonTragedy  https://t.co/8JNE9a95U7"
5,2022-10-30,"Plus je découvre la vie des humains , plus j’aime ma vie #seoul #halloween #maviedechien #bergerblancsuisse  https://t.co/3GNLoXMabL"
6,2022-10-30,Wekdienst 30/10: Presidentsverkiezingen in Brazilië • Verstappen jaagt op zege 14 in Mex ( https://t.co/EoE7MLUhpa)  https://t.co/rkuZO8TxFS  #wekdienst #seoul
7,2022-10-30,#Halloween #ItaewonStampede  #ItaewonTragedy #ITAEWONHALLOWEEN  #SeoulStampede #Seoul #seoulhalloween  #梨泰院の事故 #梨泰院ハロウィン  超級恐怖的事故….告訴我們，警覺性必須提高…「人多的地方，絕對不要去」！👻💀😱🚷💢🇰🇷 梨泰院派對意外「人踩人」 已知151亡   https://t.co/c2KqQraJeJ
8,2022-10-30,"All available emergency services personnel in #Seoul were deployed to the streets to treat the injured following the stampede - with the National Fire Agency saying more than 1,700 responders attended the scene.  It is unclear what prompted the crowd surge  https://t.co/H5jV7MoJzn"
9,2022-10-30,Praying for itaewon. What happened is so heartbreaking. Condolences to the families of the victims I hope they rest in peace and everyone else stays safe.🤍 #Seoul #prayitaewon  https://t.co/k2ZmuygLl5
10,2022-10-30,President Barzani congratulates al-Sudani PM al-Sudani - Follow/RT/Fav - #NZvsSL : #HumanitySaviours : #ELONMUSK : #KnowAboutChhathPuja : #Seoul : Glenn Phillips : Liverpool : Klopp : Brighton : CBI Probe AD Raut InSSRCase :  https://t.co/IfUQf5iYu7
11,2022-10-30,"More than 150 people were killed in a ##stampede at a #Halloween event in central #Seoul, officials said Sunday, with South Korea's president vowing a full investigation into one of the country's worst disasters. #SouthKorean #SouthKoreaHalloween  https://t.co/X6ParjMHIK"
12,2022-10-30,Deepest condolences  to the people of #SouthKorea  Stay strong #Seoul  https://t.co/pY5X3pFHhO
13,2022-10-30,"If I may ask, what should a pastor that has the ability to cast demons and it stickers perform miracles be doing with bulletproof cars ? 🤷🏻‍♂️ To see the irony his family entered the bulletproof car 🚗 and the rest was in an unprotected car . Africans ndi eriri eri #PaulSilva #Seoul  https://t.co/di0Ytadj36"
14,2022-10-30,Crush kills at least 151 at Halloween festivities in  #Seoul #SouthKorean  How to save life in Korean people
15,2022-10-30,"Dubes RI untuk Korea Selatan, Gandi Sulistiyanto mengatakan, 2 orang WNI menjadi korban tragedi Halloween di Itaewon, Korea Selatan. Keduanya berisinial AR dan CA. Keduanya sempat menjalani perawatan dan telah kembali ke kediaman masing-masing.  #itaewon #seoul #halloween  https://t.co/AAUlVYOSVH"
16,2022-10-30,Horrified by the loss of so many young lives in what should have been a cheerful Halloween celebration in #Seoul. Closely following the situation. Our thoughts are with the families who lost their loved ones. Belgium stands in solidarity with the Republic of Korea. @FMParkJin
17,2022-10-30,Žurka za noć vještica postala je kobna za mnoge mlade ljude u Seoulu #juznakoreja #seoul #nocvjestica  https://t.co/x9Lm1RSBo5
18,2022-10-30,🕯😔 #Seoul
19,2022-10-30,#Stampede in #Seoul #DeathToll #Halloween #SouthKorea  https://t.co/yoJt2lgw6H  https://t.co/huHcT1UPlp
20,2022-10-30,#Iteawon  #Seoul #Southkorea 🇰🇷🤍  https://t.co/lNBG6GwtDj
21,2022-10-30,"Che strano, noi italiani ce l’abbiamo a Roma, in via del nazareno e tante sedi sparse in italia. E poi dicono che il genio italiano non esista. Nel frattempo a #Seoul la prima prova dell’arma al #5G anche se loro pare siano gia’ al livello di interazione 6G #Halloween #Agenda2030"
22,2022-10-30,South Korean President Yoon declares national mourning period over deadly Seoul stampede #SouthKorea #NationalMourning #Seoul #SeoulStampede #Halloween #Halloweenstampede #YoonSukyeol  https://t.co/b7he0jcf7k
23,2022-10-30,"Güney Kore başbakanı Seul'deki Itaewon felaketi nedeniyle 5 Kasım 24:00'e kadar ulusal yas ilan etti.  당신의 나라에 사는 터키인으로서 우리는 당신의 고통을 공유합니다. 빨리 나으십시오 대한민국  #itaewon #Seoul  이태원 참사 ""이태원 사고""#PrayForSouthKorea #prayforitaewon  https://t.co/1DosWKbwk2"
24,2022-10-30,"#韩国 #首尔梨泰院 大规模 #踩踏事故 已造成151人死亡。A massive #stampede  in #ITAEWON , #Seoul , #SouthKorea has killed 151 people. #서울 #이태원 대규모 압사사고로 151명 사망 #news #TRAGEDY #Halloween #ItaewonStampede #ITAEWONHALLOWEEN #ItaewonTragedy  https://t.co/8JNE9a95U7"
25,2022-10-30,"Plus je découvre la vie des humains , plus j’aime ma vie #seoul #halloween #maviedechien #bergerblancsuisse  https://t.co/3GNLoXMabL"
26,2022-10-30,Wekdienst 30/10: Presidentsverkiezingen in Brazilië • Verstappen jaagt op zege 14 in Mex ( https://t.co/EoE7MLUhpa)  https://t.co/rkuZO8TxFS  #wekdienst #seoul
